PC: 0, ACC: 0, OPCODE: acc, DATA: 6
PC: 1, ACC: 6, OPCODE: acc, DATA: 21
PC: 2, ACC: 27, OPCODE: jmp, DATA: 297
PC: 299, ACC: 27, OPCODE: acc, DATA: 22
PC: 300, ACC: 49, OPCODE: jmp, DATA: 329
PC: 629, ACC: 49, OPCODE: nop, DATA: -59
PC: 630, ACC: 49, OPCODE: nop, DATA: -576
PC: 631, ACC: 49, OPCODE: acc, DATA: 27
PC: 632, ACC: 76, OPCODE: jmp, DATA: -145
PC: 487, ACC: 76, OPCODE: nop, DATA: -299
PC: 488, ACC: 76, OPCODE: acc, DATA: 36
PC: 489, ACC: 112, OPCODE: acc, DATA: 14
PC: 490, ACC: 126, OPCODE: jmp, DATA: 108
PC: 598, ACC: 126, OPCODE: acc, DATA: 14
PC: 599, ACC: 140, OPCODE: acc, DATA: 11
PC: 600, ACC: 151, OPCODE: acc, DATA: 35
PC: 601, ACC: 186, OPCODE: jmp, DATA: -510
PC: 91, ACC: 186, OPCODE: acc, DATA: 14
PC: 92, ACC: 200, OPCODE: jmp, DATA: 1
PC: 93, ACC: 200, OPCODE: jmp, DATA: 263
PC: 356, ACC: 200, OPCODE: jmp, DATA: 1
PC: 357, ACC: 200, OPCODE: acc, DATA: -5
PC: 358, ACC: 195, OPCODE: jmp, DATA: -304
PC: 54, ACC: 195, OPCODE: nop, DATA: 181
PC: 55, ACC: 195, OPCODE: jmp, DATA: 419
PC: 474, ACC: 195, OPCODE: acc, DATA: -3
PC: 475, ACC: 192, OPCODE: jmp, DATA: -273
PC: 202, ACC: 192, OPCODE: nop, DATA: 228
PC: 203, ACC: 192, OPCODE: acc, DATA: 4
PC: 204, ACC: 196, OPCODE: acc, DATA: 24
PC: 205, ACC: 220, OPCODE: jmp, DATA: -12
PC: 193, ACC: 220, OPCODE: nop, DATA: -18
PC: 194, ACC: 220, OPCODE: acc, DATA: -14
PC: 195, ACC: 206, OPCODE: acc, DATA: 19
PC: 196, ACC: 225, OPCODE: nop, DATA: 291
PC: 197, ACC: 225, OPCODE: jmp, DATA: 361
PC: 558, ACC: 225, OPCODE: acc, DATA: 29
PC: 559, ACC: 254, OPCODE: jmp, DATA: -8
PC: 551, ACC: 254, OPCODE: acc, DATA: -13
